trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",30,0,-113.16756363980332,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-151.21593331109472,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,3,-41.67844062018227,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-134.95256342849405,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,0,-43.07612004841587,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",30,3,-249.14176237463195,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 3}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",30,0,-151.4126662519746,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-136.46936903258307,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",30,2,-177.63448167273978,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 4}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-99.5694388033029,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",25,10,-25.03046033910757,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-125.45441380393096,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,3,-39.76101331406854,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,9,-42.34592196820703,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,-13.448727152529244,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,10,6.240081238183995,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
